year,statefip,state_name,census_region_name,labor_force_participation_rate,employment_rate,hhincome,incwage,poverty_rate,food_stamp_recipiency,homeownership_rate,rental_rate,rent_average_total,attending_school,educ_hs_grad,educ_college_grad,pct_hispanic,pct_white,pct_black,pct_asian,pct_female,pct_married,commute_car,commute_public,commute_time,work_from_home,migrate_no_move,migrate_same_state,migrate_new_state
2020,19,iowa,Midwest,0.654,0.954,93365,44761,0.105,0.110,0.770,0.230,938,0.233,0.724,0.211,0.062,0.853,0.040,0.026,0.505,0.417,0.835,0.005,18.1,0.117,0.863,0.103,0.020
2021,19,iowa,Midwest,0.663,0.965,98306,47385,0.113,0.109,0.765,0.235,1000,0.248,0.727,0.215,0.066,0.844,0.037,0.024,0.499,0.415,0.815,0.005,17.1,0.140,0.859,0.107,0.022
2022,19,iowa,Midwest,0.665,0.972,103035,50277,0.111,0.098,0.767,0.233,1052,0.244,0.738,0.233,0.068,0.843,0.038,0.027,0.499,0.420,0.846,0.007,17.5,0.104,0.860,0.103,0.024
2018,20,kansas,Midwest,0.665,0.961,90006,43988,0.127,0.087,0.699,0.301,978,0.262,0.701,0.231,0.120,0.839,0.058,0.029,0.500,0.417,0.913,0.000,19.0,0.046,0.821,0.127,0.033
2019,20,kansas,Midwest,0.662,0.965,92405,45174,0.117,0.086,0.702,0.298,1011,0.258,0.704,0.228,0.122,0.837,0.059,0.029,0.505,0.414,0.915,0.005,18.9,0.050,0.832,0.119,0.035
2020,20,kansas,Midwest,0.656,0.951,97000,46896,0.111,0.080,0.718,0.282,1048,0.248,0.714,0.247,0.123,0.777,0.055,0.031,0.504,0.419,0.832,0.003,17.4,0.129,0.844,0.109,0.031
2021,20,kansas,Midwest,0.651,0.960,97949,48295,0.122,0.089,0.709,0.291,1052,0.256,0.713,0.250,0.127,0.759,0.051,0.031,0.498,0.413,0.824,0.003,16.8,0.137,0.838,0.108,0.036
2022,20,kansas,Midwest,0.656,0.965,104562,50816,0.124,0.078,0.722,0.278,1199,0.254,0.716,0.247,0.130,0.761,0.052,0.031,0.499,0.410,0.835,0.005,17.3,0.120,0.841,0.107,0.038
2018,21,kentucky,South,0.592,0.951,78980,41639,0.172,0.151,0.693,0.307,882,0.233,0.688,0.180,0.036,0.868,0.080,0.015,0.509,0.400,0.920,0.000,22.4,0.039,0.837,0.125,0.024
2019,21,kentucky,South,0.590,0.953,83810,42619,0.164,0.134,0.694,0.306,885,0.231,0.691,0.182,0.038,0.866,0.083,0.017,0.507,0.398,0.912,0.010,23.2,0.042,0.849,0.116,0.022
2020,21,kentucky,South,0.587,0.943,84888,43557,0.150,0.144,0.716,0.284,921,0.226,0.701,0.196,0.038,0.841,0.070,0.015,0.507,0.402,0.845,0.007,21.0,0.112,0.865,0.098,0.023
2021,21,kentucky,South,0.591,0.943,86288,45007,0.167,0.172,0.718,0.282,942,0.230,0.698,0.197,0.039,0.834,0.071,0.016,0.506,0.401,0.849,0.005,21.0,0.114,0.856,0.106,0.024
2022,21,kentucky,South,0.599,0.955,93000,48461,0.170,0.152,0.724,0.276,1020,0.228,0.705,0.202,0.042,0.831,0.077,0.015,0.505,0.403,0.861,0.004,21.5,0.104,0.861,0.099,0.025
2018,22,louisiana,South,0.591,0.938,79173,44101,0.190,0.184,0.672,0.328,959,0.247,0.671,0.170,0.051,0.617,0.323,0.017,0.511,0.352,0.916,0.000,25.3,0.036,0.864,0.105,0.017
